2019-03-08 13:37:54,336 [1] [INFO ] MasterManager, Version=1.0.7006.24521, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-03-08 13:37:55,367 [1] [INFO ] MasterManager, Version=1.0.7006.24521, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(73) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-03-08 13:37:56,508 [1] [DEBUG] MasterManager, Version=1.0.7006.24521, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(76) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
2019-03-08 13:37:56,555 [1] [DEBUG] MasterManager, Version=1.0.7006.24521, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(90) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MDIコンテナ表示設定
2019-03-08 13:37:56,805 [1] [INFO ] MasterManager, Version=1.0.7006.24521, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\TableListForm.cs(42) INTEC.Med.MasterManager.VIEW.TableListForm .ctor -  TableListForm Initialize
2019-03-08 13:37:57,180 [1] [INFO ] MasterManager, Version=1.0.7006.24521, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(121) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-08 13:37:59,212 [1] [INFO ] MasterManager, Version=1.0.7006.24521, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\HospitalListForm.cs(38) INTEC.Med.MasterManager.VIEW.HospitalListForm .ctor -  TableListForm Initialize
2019-03-08 13:37:59,212 [1] [INFO ] MasterManager, Version=1.0.7006.24521, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(121) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-08 13:37:59,243 [1] [INFO ] MasterManager, Version=1.0.7006.24521, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(110) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView -         MasterManager - 1.0.7006.24521 表示
2019-03-08 13:38:24,337 [1] [INFO ] MasterManager, Version=1.0.7006.24521, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(28) INTEC.Med.MasterManager.Program Main - ===== Program End
2019-03-08 13:39:35,052 [1] [INFO ] MasterManager, Version=1.0.7006.24584, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-03-08 13:39:35,270 [1] [INFO ] MasterManager, Version=1.0.7006.24584, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(73) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-03-08 13:39:35,724 [1] [DEBUG] MasterManager, Version=1.0.7006.24584, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(76) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
2019-03-08 13:39:35,739 [1] [DEBUG] MasterManager, Version=1.0.7006.24584, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(90) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MDIコンテナ表示設定
2019-03-08 13:39:36,036 [1] [INFO ] MasterManager, Version=1.0.7006.24584, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\TableListForm.cs(42) INTEC.Med.MasterManager.VIEW.TableListForm .ctor -  TableListForm Initialize
2019-03-08 13:39:36,396 [1] [INFO ] MasterManager, Version=1.0.7006.24584, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(121) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-08 13:39:36,864 [1] [INFO ] MasterManager, Version=1.0.7006.24584, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\HospitalListForm.cs(38) INTEC.Med.MasterManager.VIEW.HospitalListForm .ctor -  TableListForm Initialize
2019-03-08 13:39:36,864 [1] [INFO ] MasterManager, Version=1.0.7006.24584, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(121) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-08 13:39:36,880 [1] [INFO ] MasterManager, Version=1.0.7006.24584, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(110) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView -         MasterManager - 1.0.7006.24584 表示
2019-03-08 13:39:45,756 [1] [INFO ] MasterManager, Version=1.0.7006.24584, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(28) INTEC.Med.MasterManager.Program Main - ===== Program End
2019-03-08 13:40:42,273 [1] [INFO ] MasterManager, Version=1.0.7006.24618, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-03-08 13:40:42,390 [1] [INFO ] MasterManager, Version=1.0.7006.24618, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(73) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-03-08 13:40:42,653 [1] [DEBUG] MasterManager, Version=1.0.7006.24618, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(76) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
2019-03-08 13:40:42,654 [1] [DEBUG] MasterManager, Version=1.0.7006.24618, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(90) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MDIコンテナ表示設定
